Method,Size,Mean,SD,Median
1-Pivot Hoare,100,224.4847,0.0588,224.4906
1-Pivot Hoare,1000,3612.1521,2.2119,3612.3146
1-Pivot Hoare,10000,49451.5958,72.9468,49464.5783
1-Pivot Hoare,100000,622681.4604,1879.7192,622662.0813
1-Pivot Hoare,1000000,7514512.0625,57015.6085,7528135.1250
1-Pivot Hoare,10000000,88601386.6500,1316610.4428,88910896.5000
1-Pivot Hoare Block Partition,100,140.5428,0.0876,140.5400
1-Pivot Hoare Block Partition,1000,1570.7223,0.3938,1570.6199
1-Pivot Hoare Block Partition,10000,16756.4235,7.9552,16757.5304
1-Pivot Hoare Block Partition,100000,174650.0671,156.4744,174665.2439
1-Pivot Hoare Block Partition,1000000,1813011.9915,5043.7407,1811789.7762
1-Pivot Hoare Block Partition,10000000,20131908.6500,59866.7898,20134795.0000
1-Pivot Lomuto,100,208.5500,0.2674,208.4572
1-Pivot Lomuto,1000,3431.9977,4.9888,3432.6774
1-Pivot Lomuto,10000,47510.1674,62.4065,47492.9219
1-Pivot Lomuto,100000,599369.5910,3094.0668,599127.2778
1-Pivot Lomuto,1000000,7188431.3250,77244.2181,7204133.7500
1-Pivot Lomuto,10000000,85572728.6000,1273266.3095,85589444.5000
1-Pivot Lomuto Block Partition,100,112.3253,1.7694,112.7843
1-Pivot Lomuto Block Partition,1000,1847.2526,6.8858,1570.6199
1-Pivot Lomuto Block Partition,10000,25410.1772,123.7813,25350.7255
1-Pivot Lomuto Block Partition,100000,294244.7788,3465.6995,294878.4121
1-Pivot Lomuto Block Partition,1000000,3309146.6000,66124.1202,3313478.8000
1-Pivot Lomuto Block Partition,10000000,38173447.6500,1498913.4243,37931268.5000
2-Pivot Lomuto Block,100,108.9624,0.0537,108.9703
2-Pivot Lomuto Block,1000,1423.2516,3.1800,1422.2247
2-Pivot Lomuto Block,10000,17959.2518,49.0859,17951.8464
2-Pivot Lomuto Block,100000,196951.7141,1583.5204,197172.6696
2-Pivot Lomuto Block,1000000,2134863.0700,33965.1267,2119311.9000
2-Pivot Lomuto Block,10000000,24700025.8000,856684.2381,24551996.5000
