Method,Size,Mean,SD,Median
1-Pivot Hoare,100,0.0205,0.0120,0.0188
1-Pivot Hoare,1000,0.6087,1.4656,0.2268
1-Pivot Hoare,10000,3.4867,2.7533,2.7844
1-Pivot Hoare,100000,1079.6629,230.8850,996.8944
1-Pivot Hoare,1000000,25764.5000,1166.9931,25475.1250
1-Pivot Hoare,10000000,634608.9000,13770.3278,633085.5000
1-Pivot Hoare Block Partition,100,0.0308,0.0710,0.0115
1-Pivot Hoare Block Partition,1000,0.6074,1.3152,0.1710
1-Pivot Hoare Block Partition,10000,2.1814,1.5526,1.6280
1-Pivot Hoare Block Partition,100000,962.7563,36.5304,957.6906
1-Pivot Hoare Block Partition,1000000,22939.3449,772.0659,22956.2750
1-Pivot Hoare Block Partition,10000000,618067.7500,15870.0637,615660.5000
1-Pivot Lomuto,100,0.0309,0.0585,0.0114
1-Pivot Lomuto,1000,1.5477,2.5235,0.7386
1-Pivot Lomuto,10000,16.8345,33.0704,6.4018
1-Pivot Lomuto,100000,1033.2760,46.1483,1016.9857
1-Pivot Lomuto,1000000,25119.6125,1033.3887,24916.1250
1-Pivot Lomuto,10000000,653495.7500,17064.0432,653582.5000
1-Pivot Lomuto Block Partition,100,0.0382,0.0290,0.0314
1-Pivot Lomuto Block Partition,1000,0.3182,0.2477,0.2104
1-Pivot Lomuto Block Partition,10000,3.3952,3.7817,2.3033
1-Pivot Lomuto Block Partition,100000,1170.8087,38.3259,1170.6985
1-Pivot Lomuto Block Partition,1000000,25346.0800,820.9205,25164.7000
1-Pivot Lomuto Block Partition,10000000,664360.6000,21405.0063,659137.5000
2-Pivot Lomuto Block,100,0.0882,0.2168,0.0370
2-Pivot Lomuto Block,1000,1.6396,5.9674,0.2243
2-Pivot Lomuto Block,10000,5.6262,2.8924,5.2277
2-Pivot Lomuto Block,100000,1160.9140,51.9771,1143.0456
2-Pivot Lomuto Block,1000000,24010.0300,790.7382,24020.7000
2-Pivot Lomuto Block,10000000,635062.3500,14272.0662,634228.5000
