Method,Size,Mean,SD,Median
1-Pivot Hoare,100,9327.4759,18.6229,9321.5095
1-Pivot Hoare,1000,141738.7953,210.1901,141718.3450
1-Pivot Hoare,10000,1896946.0648,20737.2369,1891616.5700
1-Pivot Hoare,100000,23894324.6266,136138.2225,23938976.7268
1-Pivot Hoare,1000000,283465722.4250,4456168.7125,282439687.8750
1-Pivot Hoare,10000000,3341781994.300,21642481.3347,3341179100.5000
1-Pivot Hoare Block Partition,100,7261.6214,3.9023,7261.0766
1-Pivot Hoare Block Partition,1000,91497.6734,44.2229,91503.7709
1-Pivot Hoare Block Partition,10000,1093098.0648,28276.9430,1087067.0555
1-Pivot Hoare Block Partition,100000,12615251.1810,408397.6682,12525100.7167
1-Pivot Hoare Block Partition,1000000,142142979.8257,1816742.9514,141750443.9091
1-Pivot Hoare Block Partition,10000000,1651547110.850,15522352.0233,1651945749.0000
1-Pivot Lomuto,100,8753.9251,19.1779,8747.1730
1-Pivot Lomuto,1000,133820.5575,121.5330,133786.0877
1-Pivot Lomuto,10000,1797257.9908,1206.3404,1797317.9663
1-Pivot Lomuto,100000,22592563.3050,184018.1868,22560236.2500
1-Pivot Lomuto,1000000,266780288.5625,1370978.1629,266496379.5000
1-Pivot Lomuto,10000000,3176006233.550,31963176.2929,3178944155.5000
1-Pivot Lomuto Block Partition,100,7008.9387,28.2391,7005.8331
1-Pivot Lomuto Block Partition,1000,119936.7616,332.2665,120045.5206
1-Pivot Lomuto Block Partition,10000,1635196.2005,3174.6739,1635068.8220
1-Pivot Lomuto Block Partition,100000,19944485.2959,165665.3166,19999479.0516
1-Pivot Lomuto Block Partition,1000000,234756806.7100,3512955.3454,233878365.1000
1-Pivot Lomuto Block Partition,10000000,2779056745.450,88165361.1430,2783135055.5000
2-Pivot Lomuto Block,100,6921.2645,7.4863,6920.0053
2-Pivot Lomuto Block,1000,115531.6098,1531.6089,115046.6171
2-Pivot Lomuto Block,10000,1567567.6369,5508.4648,1567416.7897
2-Pivot Lomuto Block,100000,18897769.3384,175912.1206,18848614.8083
2-Pivot Lomuto Block,1000000,216844641.5500,2817917.2648,216536644.3000
2-Pivot Lomuto Block,10000000,2548418986.850,48249924.4893,2559985148.0000
