Method,Size,Mean,SD,Median
1-Pivot Hoare,100,2.1751,7.3394,2.1724
1-Pivot Hoare,1000,33.659,203.14,33.553
1-Pivot Hoare,10000,442.01,2.1185,441.58
1-Pivot Hoare,100000,5558.3,79.072,5529.4
1-Pivot Hoare,1000000,66392.0,1068.8,66594.0
1-Pivot Hoare,10000000,776490.0,3736.4,776070.0
1-Pivot Hoare Block Partition,100,1.6938,0.0047546,1.6926
1-Pivot Hoare Block Partition,1000,21.782,0.10785,21.743
1-Pivot Hoare Block Partition,10000,259.09,0.49099,258.97
1-Pivot Hoare Block Partition,100000,2987.2000000000003,9.5993,2985.5
1-Pivot Hoare Block Partition,1000000,33808.0,159.14,33788.0
1-Pivot Hoare Block Partition,10000000,394790.0,2916.2,395560.0
1-Pivot Lomuto,100,2.0334,0.005281,2.0322
1-Pivot Lomuto,1000,31.105,0.12319,31.062
1-Pivot Lomuto,10000,419.93,3.2284,418.01
1-Pivot Lomuto,100000,5200.8,19.270,5196.3
1-Pivot Lomuto,1000000,62292.0,452.07,62217.0
1-Pivot Lomuto,10000000,745100.0,6756.400000000001,743020.0
1-Pivot Lomuto Block Partition,100,1.6698,0.0042852,1.6689
1-Pivot Lomuto Block Partition,1000,28.453,0.087002,28.424
1-Pivot Lomuto Block Partition,10000,392.02,1.3621,391.81
1-Pivot Lomuto Block Partition,100000,4785.700000000001,42.338,4782.4
1-Pivot Lomuto Block Partition,1000000,56288.0,884.73,56358.0
1-Pivot Lomuto Block Partition,10000000,668140.0,21283.0,662610.0
2-Pivot Lomuto Block,100,1.6387,0.0043470,1.6373
2-Pivot Lomuto Block,1000,27.249,0.052407,27.249
2-Pivot Lomuto Block,10000,374.62,3.3842,373.88
2-Pivot Lomuto Block,100000,4504.8,31.057,4502.2
2-Pivot Lomuto Block,1000000,52149.0,802.78,52234.0
2-Pivot Lomuto Block,10000000,605610.0,13676.0,602310.0
