Method,Size,Mean,SD,Median
1-Pivot Hoare,100,224.4847,0.0588,224.4906
1-Pivot Hoare,1000,3612.1521,2.2119,3612.3146
1-Pivot Hoare,10000,49451.5958,72.9468,49464.5783
1-Pivot Hoare,100000,622681.4604,1879.7192,622662.0813
1-Pivot Hoare,1000000,7514512.0625,57015.6085,7528135.1250
1-Pivot Hoare,10000000,88601386.6500,1316610.4428,88910896.5000
1-Pivot Lomuto,100,208.5500,0.2674,208.4572
1-Pivot Lomuto,1000,3431.9977,4.9888,3432.6774
1-Pivot Lomuto,10000,47510.1674,62.4065,47492.9219
1-Pivot Lomuto,100000,599369.5910,3094.0668,599127.2778
1-Pivot Lomuto,1000000,7188431.3250,77244.2181,7204133.7500
1-Pivot Lomuto,10000000,85572728.6000,1273266.3095,85589444.5000
2-Pivot Yaro,100,218.6639,0.0935,218.6437
2-Pivot Yaro,1000,3629.7245,1.7137,3630.2813
2-Pivot Yaro,10000,50301.2096,38.3586,50300.6213
2-Pivot Yaro,100000,635045.2987,2126.8544,634416.1873
2-Pivot Yaro,1000000,7624533.4500,45160.5385,7614424.8750
2-Pivot Yaro,10000000,90144952.0000,955908.5187,90243746.5000
3-Pivot Kush,100,231.0457,0.0996,231.0266
3-Pivot Kush,1000,3828.0046,1.7692,3827.5547
3-Pivot Kush,10000,52692.9469,57.0170,52699.8674
3-Pivot Kush,100000,660656.7803,2410.3154,660486.3048
3-Pivot Kush,1000000,7881473.7500,55041.5020,7885420.7000
3-Pivot Kush,10000000,93039500.9000,1138513.6270,93254088.5000
4-Pivot,100,233.3581,0.1961,233.3429
4-Pivot,1000,3847.1970,1.7934,3847.1812
4-Pivot,10000,52466.7069,69.7884,52466.1749
4-Pivot,100000,655540.9742,2248.3174,655697.4468
4-Pivot,1000000,7831009.1900,49027.0168,7835433.7000
4-Pivot,10000000,92702517.3500,1393247.4531,93065712.5000
