Method,Size,Mean,SD,Median
1-Pivot Hoare,100,0.0205,0.0120,0.0188
1-Pivot Hoare,1000,0.6087,1.4656,0.2268
1-Pivot Hoare,10000,3.4867,2.7533,2.7844
1-Pivot Hoare,100000,1079.6629,230.8850,996.8944
1-Pivot Hoare,1000000,25764.5000,1166.9931,25475.1250
1-Pivot Hoare,10000000,634608.9000,13770.3278,633085.5000
1-Pivot Lomuto,100,0.0309,0.0585,0.0114
1-Pivot Lomuto,1000,1.5477,2.5235,0.7386
1-Pivot Lomuto,10000,16.8345,33.0704,6.4018
1-Pivot Lomuto,100000,1033.2760,46.1483,1016.9857
1-Pivot Lomuto,1000000,25119.6125,1033.3887,24916.1250
1-Pivot Lomuto,10000000,653495.7500,17064.0432,653582.5000
2-Pivot Yaro,100,0.0470,0.1104,0.0155
2-Pivot Yaro,1000,1.3900,4.3104,0.3234
2-Pivot Yaro,10000,14.0858,30.1847,6.7674
2-Pivot Yaro,100000,1200.8078,284.2979,1131.0076
2-Pivot Yaro,1000000,22058.5875,528.7325,21870.3750
2-Pivot Yaro,10000000,598454.2000,6634.4607,597553.5000
3-Pivot Kush,100,0.0118,0.0093,0.0095
3-Pivot Kush,1000,1.0156,1.9968,0.5050
3-Pivot Kush,10000,9.3897,19.5556,4.8184
3-Pivot Kush,100000,1071.0240,157.6619,1032.5982
3-Pivot Kush,1000000,22472.1100,1444.4493,22098.3000
3-Pivot Kush,10000000,608203.3000,7020.9750,607993.0000
4-Pivot,100,0.0343,0.0814,0.0120
4-Pivot,1000,1.3838,2.5992,0.5333
4-Pivot,10000,4.1651,4.0935,3.1953
4-Pivot,100000,1158.2534,209.3988,1090.7000
4-Pivot,1000000,22077.3200,600.9565,22069.7000
4-Pivot,10000000,587479.3000,11805.1672,582773.5000
