Method,Size,Mean,SD,Median
1-Pivot Hoare,100,9327.4759,18.6229,9321.5095
1-Pivot Hoare,1000,141738.7953,210.1901,141718.3450
1-Pivot Hoare,10000,1896946.0648,20737.2369,1891616.5700
1-Pivot Hoare,100000,23894324.6266,136138.2225,23938976.7268
1-Pivot Hoare,1000000,283465722.4250,4456168.7125,282439687.8750
1-Pivot Hoare,10000000,3341781994.300,21642481.3347,3341179100.5000
1-Pivot Lomuto,100,8753.9251,19.1779,8747.1730
1-Pivot Lomuto,1000,133820.5575,121.5330,133786.0877
1-Pivot Lomuto,10000,1797257.9908,1206.3404,1797317.9663
1-Pivot Lomuto,100000,22592563.3050,184018.1868,22560236.2500
1-Pivot Lomuto,1000000,266780288.5625,1370978.1629,266496379.5000
1-Pivot Lomuto,10000000,3176006233.550,31963176.2929,3178944155.5000
2-Pivot Yaro,100,8731.0535,13.1483,8733.6726
2-Pivot Yaro,1000,134846.2398,206.7811,134824.3757
2-Pivot Yaro,10000,1813160.2271,4167.9340,1812861.3252
2-Pivot Yaro,100000,22590180.7687,50252.7800,22586713.9725
2-Pivot Yaro,1000000,271262015.0750,2037510.3443,271168330.2500
2-Pivot Yaro,10000000,3222076486.750,22825580.2990,3228776030.0000
3-Pivot Kush,100,8612.3759,35.5221,8603.2238
3-Pivot Kush,1000,130997.1678,1591.6522,130493.5023
3-Pivot Kush,10000,1736859.7051,1691.3828,1736487.8719
3-Pivot Kush,100000,21593228.2474,199876.9076,21493032.9813
3-Pivot Kush,1000000,257443837.9800,1733684.7359,256993526.2000
3-Pivot Kush,10000000,3026119949.450,23471563.5615,3025067078.5000
4-Pivot,100,8563.8790,9.0442,8562.7883
4-Pivot,1000,129414.4258,60.9929,129430.0027
4-Pivot,10000,1712788.0590,1490.2721,1712866.7067
4-Pivot,100000,21148019.6577,123063.0849,21104913.9275
4-Pivot,1000000,249836540.5700,1201917.2970,249647638.0000
4-Pivot,10000000,2961500698.750,21436898.4187,2957871275.5000
