Method,Size,Mean,SD,Median
// 1-Pivot Hoare,100,2.1751 μs,7.3394 μs,2.1724 μs
// 1-Pivot Hoare,1000,33.659 μs,203.14 μs,33.553 μs
1-Pivot Hoare,10000,442.01 μs,2.1185 μs,441.58 μs
1-Pivot Hoare,100000,5.5583 ms,79.072 μs,5.5294 ms
1-Pivot Hoare,1000000,66.392 ms,1.0688 ms,66.594 ms
1-Pivot Hoare,10000000,776.49 ms,3.7364 ms,776.07 ms
// 1-Pivot Lomuto,100,2.0334 µs,5.281 ns,2.0322 μs
// 1-Pivot Lomuto,1000,31.105 µs,123.19 ns,31.062 µs
1-Pivot Lomuto,10000,419.93 µs,3.2284 µs,418.01 µs
1-Pivot Lomuto,100000,5.2008 ms,19.270 µs,5.1963 ms
1-Pivot Lomuto,1000000,62.292 ms,452.07 µs,62.217 ms
1-Pivot Lomuto,10000000,745.10 ms,6.7564 ms,743.02 ms
// 2-Pivot Yaro,100,2.0848 µs,6.1677 ns,2.0827 µs
// 2-Pivot Yaro,1000,31.372 µs,95.770 ns,31.347 µs
2-Pivot Yaro,10000,429.91 µs,5.6708 µs,428.28 µs
2-Pivot Yaro,100000,5.3164 ms,15.375 µs,5.3128 ms
2-Pivot Yaro,1000000,63.092 ms,500.09 µs,62.958 ms
2-Pivot Yaro,10000000,748.26 ms,4.8510 ms,749.60 ms
// 3-Pivot Kush,100,1.9985 µs,9.7010 ns,1.9943 µs
// 3-Pivot Kush,1000,30.422 µs,80.286 ns,30.392 µs
3-Pivot Kush,10000,411.09 µs,798.13 ns,410.84 µs
3-Pivot Kush,100000,5.0570 ms,28.975 µs,5.0482 ms
3-Pivot Kush,1000000,60.328 ms,906.06 µs,60.771 ms
3-Pivot Kush,10000000,717.27 ms,6.5670 ms,716.72 ms
// 4-Pivot,100,1.9923 µs,6.2348 ns,1.9901 µs
// 4-Pivot,1000,30.422 µs,94.982 ns,30.400 µs
4-Pivot,10000,403.15 µs,1.7442 µs,402.50 µs
4-Pivot,100000,4.9661 ms,23.757 µs,4.9566 ms
4-Pivot,1000000,58.758 ms,365.07 µs,58.683 ms
4-Pivot,10000000,696.42 ms,5.1556 ms,696.82 ms
