Method,Size,Mean,SD,Median
1-Pivot Hoare,100,2.1751,7.3394,2.1724
1-Pivot Hoare,1000,33.659,203.14,33.553
1-Pivot Hoare,10000,442.01,2.1185,441.58
1-Pivot Hoare,100000,5558.3,79.072,5529.4
1-Pivot Hoare,1000000,66392.0,1068.8,66594.0
1-Pivot Hoare,10000000,776490.0,3736.4,776070.0
1-Pivot Lomuto,100,2.0334,0.005281,2.0322
1-Pivot Lomuto,1000,31.105,0.12319,31.062
1-Pivot Lomuto,10000,419.93,3.2284,418.01
1-Pivot Lomuto,100000,5200.8,19.270,5196.3
1-Pivot Lomuto,1000000,62292.0,452.07,62217.0
1-Pivot Lomuto,10000000,745100.0,6756.4,743020.0
2-Pivot Yaro,100,2.0848,0.0061677,2.0827
2-Pivot Yaro,1000,31.372,0.095770,31.347
2-Pivot Yaro,10000,429.91,5.6708,428.28
2-Pivot Yaro,100000,5316.4,15.375,5312.8
2-Pivot Yaro,1000000,63092.0,500.09,62958.0
2-Pivot Yaro,10000000,748260.0,4851.0,749600.0
3-Pivot Kush,100,1.9985,0.0097010,1.9943
3-Pivot Kush,1000,30.422,0.080286,30.392
3-Pivot Kush,10000,411.09,0.79813,410.84
3-Pivot Kush,100000,5057.0,28.975,5048.2
3-Pivot Kush,1000000,60328.0,906.06,60771.0
3-Pivot Kush,10000000,717270.0,6567.0,716720.0
4-Pivot,100,1.9923,0.0062348,1.9901
4-Pivot,1000,30.422,0.094982,30.400
4-Pivot,10000,403.15,1.7442,402.50
4-Pivot,100000,4966.1,23.757,4956.6
4-Pivot,1000000,58758.0,365.07,58683.0
4-Pivot,10000000,696420.0,5155.6,696820.0
